"","Disk","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"1","NVMe 256GB",12486,2023-08-31,15.99,2024-04-03,16.99,"First Quantile"
"2","M.2 PCIE 2280 SSD 512GB",19786,2024-01-27,31.99,2024-04-30,39.99,"First Quantile"
"3","ADATA LEGEND 900",40048,2023-09-30,79.99,2023-09-30,79.99,"Second Quantile"
"4","Corsair Force MP510 480GB",16370,2019-07-19,69.99,2023-07-17,56.99,"Third Quantile"
"5","GEN4 1TB",34356,2023-10-15,49.99,2024-04-15,69.99,"First Quantile"
"6","CT1000T500SSD5",41740,2023-12-31,89.99,2023-12-31,89.99,"Second Quantile"
"7","ADATA LEGEND 960",44922,2023-06-30,97.68,2023-06-30,97.68,"Second Quantile"
"8","Samsung SSD 990 PRO 1TB",49174,2023-05-26,149.99,2023-09-07,99.99,"Third Quantile"
"9","NVMe PC SN730 NVMe WD",20179,2020-12-31,49,2020-12-31,49,"Second Quantile"
"10","CT1000P3PSSD8",26675,2022-09-30,69.99,2022-09-30,69.99,"Second Quantile"
"11","NVMe SSD",13082,2023-12-20,29.99,2024-04-19,47.99,"First Quantile"
"12","Viper VP4300 2TB",41750,2023-07-18,119.99,2024-04-27,117.99,"Second Quantile"
"13","Crucial P3 500GB",18199,2023-07-30,39.99,2024-04-01,77.99,"First Quantile"
"14","Corsair MP600 MINI",28077,2023-12-31,79.99,2023-12-31,79.99,"Second Quantile"
"15","Corsair MP600 CORE XT",29867,2023-06-30,77.99,2023-06-30,77.99,"Second Quantile"
"16","NVMe WD Green SN350 1TB",22746,2023-05-17,59.99,2024-02-06,62.99,"Second Quantile"
"17","KINGSTON KC3000 1TB",45835,2021-12-31,132.07,2021-12-31,132.07,"Third Quantile"
"18","Patriot M.2 P310 960GB",19210,2023-03-31,56.99,2023-03-31,56.99,"First Quantile"
"19","Samsung SSD 990 EVO 1TB",30264,2024-03-23,119.95,2024-05-08,139.95,"Second Quantile"
"20","NVMe WD Blue SN570 1TB",26468,2023-05-17,69.99,2024-02-29,69.99,"Second Quantile"
"21","KXG60ZNV512G TOSHIBA",17912,2021-05-15,123.99,2023-08-19,42.51,"Second Quantile"
"22","INTEL SSDPEKNU512GZ",16810,2023-07-17,69.99,2024-05-09,62.87,"Second Quantile"
"23","NVMe Samsung 980 PRO",29902,2023-05-17,98.85,2024-05-07,154.99,"Second Quantile"
"24","WDC PC SN730 SDBPNTY",23649,2020-12-31,78,2020-12-31,78,"Third Quantile"
"25","GIGABYTE AORUS Gen5 12000 1TB",55095,2023-12-31,183.04,2023-12-31,183.04,"Third Quantile"
"26","Samsung SSD 990 PRO 2TB",50755,2023-05-17,239.99,2023-09-05,189.99,"Third Quantile"
"27","NVMe ADATA LEGEND 700",14812,2023-03-31,49.64,2023-03-31,49.64,"First Quantile"
"28","NVMe WD BLACK SN850 1TB",44294,2022-07-16,185.39,2023-09-22,128.99,"Third Quantile"
"29","Crucial T705 2TB Gen5 M.2",80496,2024-03-29,399.99,2024-05-04,399.99,"Third Quantile"
"30","Crucial P5 Plus 1TB",37766,2022-04-05,210.61,2024-04-12,123.5,"Third Quantile"
"31","IM2P33F3 NVMe ADATA 256GB",9924,2020-09-30,34.99,2020-09-30,34.99,"First Quantile"
"32","Viper VP4300 1TB",41149,2022-07-31,164.99,2023-08-30,64.99,"Third Quantile"
"33","NVMe PCIe 512GB",12448,2024-02-11,32.99,2024-04-29,36.7,"First Quantile"
"34","Corsair MP600 PRO",48450,2022-06-30,144.99,2022-06-30,144.99,"Third Quantile"
"35","NVMe PC SN530 NVMe WDC 512GB",14846,2023-07-21,36.74,2024-02-06,49.95,"First Quantile"
"36","NVMe PC SN520 NVMe WD",13734,2019-09-30,32.6,2019-09-30,32.6,"First Quantile"
"37","CT2000P3PSSD8",28970,2022-09-30,117.99,2022-09-30,117.99,"Second Quantile"
"38","GIGABYTE AORUS Gen5 12000 SSD 2TB",73048,2023-12-31,302.39,2023-12-31,302.39,"Third Quantile"
"39","ADATA LEGEND 710",18194,2023-09-30,73.43,2023-09-30,73.43,"Second Quantile"
"40","ADATA LEGEND 800",22193,2023-06-30,88.59,2023-06-30,88.59,"Second Quantile"
"41","NVME SSD 128GB",7877,2020-06-30,34.99,2020-06-30,34.99,"First Quantile"
"42","Crucial T700 2TB",72918,2023-06-19,339.99,2024-04-29,339.99,"Third Quantile"
"43","SanDisk Extreme Pro 1TB",22655,2019-06-06,369.89,2024-02-29,425.99,"Third Quantile"
"44","GIGABYTE AG510K2TB",60830,2023-06-30,286.42,2023-06-30,286.42,"Third Quantile"
"45","CT1000P5SSD8",25118,2023-09-18,94.49,2024-01-03,78.42,"Second Quantile"
"46","BC711 NVMe SK hynix 128GB",9756,2021-06-30,15.99,2021-06-30,15.99,"First Quantile"
"47","KBG40ZNS128G NVMe KIOXIA 128GB",9062,2023-05-17,15.99,2024-03-06,15.99,"First Quantile"
"48","Intel Optane P1600X 58GB",13064,2023-06-30,32.84,2023-06-30,32.84,"First Quantile"
"49","Patriot P300 128GB",9183,2020-09-30,30.95,2020-09-30,30.95,"First Quantile"
"50","Patriot M.2 P300 128GB",10890,2022-06-30,42.6,2022-06-30,42.6,"First Quantile"
"51","SanDisk X400 M.2 2280 128GB",3871,2017-04-26,114.26,2023-07-17,17.94,"Third Quantile"
"52","Patriot Burst Elite 120GB",2823,2021-10-15,20.99,2021-12-09,18.99,"First Quantile"
"53","HP SSD EX900 120GB",8851,2019-06-21,29.99,2021-02-27,43.99,"First Quantile"
"54","SK hynix SC311 128GB",2778,2021-05-30,44.92,2023-11-02,14.16,"First Quantile"
"55","ADATA SU655",3533,2018-09-30,15.49,2018-09-30,15.49,"First Quantile"
"56","Patriot P210 128GB",2569,2021-10-22,70.38,2024-03-29,23.04,"Second Quantile"
"57","SAMSUNG SSD PM871 M.2 2280 128GB",3022,2015-12-31,17.39,2015-12-31,17.39,"First Quantile"
"58","ADATA SU650",4196,2019-12-31,17.96,2019-12-31,17.96,"First Quantile"
"59","Netac NVMe SSD 128GB",7527,2021-06-19,39.24,2021-08-21,48.31,"First Quantile"
"60","BC501 NVMe SK hynix 128GB",4907,2019-03-31,31.99,2019-03-31,31.99,"First Quantile"
"61","SAMSUNG MZ7TE128HMGR-000L1",2415,2014-06-30,15.99,2014-06-30,15.99,"First Quantile"
"62","DOGFISH SSD 128GB",3315,2022-10-02,25.99,2024-04-16,27.6,"First Quantile"
"63","CT120BX100SSD1",3137,2015-04-01,67.99,2024-02-04,21.24,"Second Quantile"
"64","Colorful CN600 128GB",8732,2023-05-17,59.99,2023-09-25,59.69,"Second Quantile"
"65","KBG30ZMT128G TOSHIBA",5389,2018-03-31,38.68,2018-03-31,38.68,"First Quantile"
"66","DOGFISH SSD 120GB",2222,2021-05-23,22,2024-01-21,17,"First Quantile"
"67","HP SSD M700 120GB",3183,2019-06-21,22.99,2019-11-14,22.99,"First Quantile"
"68","SAMSUNG MZFLV128HCGR-000MV",3729,2016-09-30,26.95,2016-09-30,26.95,"First Quantile"
"69","DOGFISH SSD 64GB",1892,2023-05-26,14,2024-03-19,12.36,"First Quantile"
"70","BR 128GB",4204,2023-05-17,26,2024-02-29,37.69,"First Quantile"
"71","SanDisk X300 2.5 7MM 128GB",3130,2016-12-31,26.19,2016-12-31,26.19,"First Quantile"
"72","SAMSUNG MZ7LN128HCHP-000H1",2947,2019-03-11,43.85,2019-06-08,44.18,"Second Quantile"
"73","KINGSTON SH103S3",3587,2014-03-31,29.99,2014-03-31,29.99,"First Quantile"
"74","GIGABYTE GP-GSTFS31120GNTD",3102,2019-06-21,26.99,2022-04-21,32.25,"First Quantile"
"75","Netac SSD 120GB",2651,2021-06-02,90.5,2022-06-18,31.99,"Second Quantile"
"76","KIOXIA (Toshiba) 128GB",5466,2018-09-30,48,2018-09-30,48,"First Quantile"
"77","ADATA SU800 SSD 128GB",3221,2017-06-30,29.99,2017-06-30,29.99,"First Quantile"
