"","GPU","Score","G2DScore","G3DScore","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"1","GeForce RTX 4080",21544,1241,34621,2022-11-17,1399.99,2024-02-24,1111.68,"Third Quantile"
"2","GeForce RTX 4080 SUPER",20488,1226,34156,2024-02-01,999.99,2024-04-09,999.99,"Third Quantile"
"3","GeForce RTX 4070 Ti SUPER",19163,1201,31666,2024-01-26,799.99,2024-04-09,849.99,"Third Quantile"
"4","GeForce RTX 4070 Ti",18990,1196,31772,2023-01-14,849.99,2024-02-27,789.99,"Third Quantile"
"5","Radeon RX 7900 XTX",18311,1232,30899,2022-12-13,999,2024-01-23,959.99,"Third Quantile"
"6","GeForce RTX 4070 SUPER",17838,1148,29985,2024-01-19,609.99,2024-02-10,589.99,"Third Quantile"
"7","GeForce RTX 3090 Ti",17512,1228,29763,2022-04-02,2099.99,2024-03-12,2055.94,"Third Quantile"
"8","Radeon RX 7900 XT",17480,1187,28822,2022-12-13,899,2024-03-20,727.89,"Second Quantile"
"9","GeForce RTX 3090",16017,1051,26788,2020-09-24,1549.99,2024-04-01,1875.02,"Third Quantile"
"10","GeForce RTX 3080 Ti",15952,1090,27182,2021-06-17,2719.99,2024-04-01,1468.05,"Third Quantile"
"11","Radeon RX 7900 GRE",15523,1126,26587,2024-02-27,569.99,2024-03-22,549.99,"Second Quantile"
"12","Radeon RX 6900 XT",15246,1046,26848,2020-12-08,999,2023-11-28,926.61,"Third Quantile"
"13","GeForce RTX 4070",15054,1119,27005,2023-04-20,599.99,2024-02-20,524.99,"Third Quantile"
"14","GeForce RTX 3080",14992,1041,25292,2020-09-18,749.99,2024-03-17,499.99,"Third Quantile"
"15","Radeon RX 6950 XT",14900,1032,28317,2022-05-01,1099,2024-04-01,920.89,"Third Quantile"
"16","Radeon RX 6800 XT",13856,1018,25029,2020-11-18,649,2024-04-07,834.99,"Second Quantile"
"17","Radeon RX 7800 XT",13639,1121,24047,2023-09-10,519.99,2024-03-20,499.99,"Second Quantile"
"18","Radeon RX 7700 XT",13039,1094,22188,2023-09-09,449.99,2024-03-12,419.99,"Second Quantile"
"19","GeForce RTX 4060 Ti",12499,1069,22935,2023-06-03,399,2024-04-05,390.99,"First Quantile"
"20","GeForce RTX 4060 Ti 16GB",12417,1072,22901,2023-07-18,499,2024-04-08,439.99,"Second Quantile"
"21","GeForce RTX 3070 Ti",12044,1053,23654,2021-06-19,1419.99,2024-01-24,491.07,"Third Quantile"
"22","GeForce RTX 3070",11579,999,22394,2020-10-01,499,2023-09-16,474.64,"Second Quantile"
"23","Radeon RX 6800",11432,971,22292,2020-11-18,579,2023-11-10,399.99,"Second Quantile"
"24","GeForce RTX 2080 Ti",10403,935,21788,2018-11-03,1319.99,2023-09-05,1342.59,"Third Quantile"
"25","GeForce RTX 3060 Ti",10285,995,20538,2020-12-03,439.99,2024-03-12,390.71,"First Quantile"
"26","TITAN RTX",10265,828,20095,2018-12-28,2499.99,2023-08-26,2423.14,"Third Quantile"
"27","Radeon RX 6750 XT",10043,942,20778,2022-05-14,579.99,2024-02-07,369.99,"Second Quantile"
"28","Radeon RX 6700 XT",9780,939,19881,2021-04-18,779.99,2023-12-29,523.67,"Third Quantile"
"29","GeForce GTX 1080 Ti",9726,937,18562,2017-03-15,879,2022-05-26,483.82,"Third Quantile"
"30","TITAN V",9606,862,19743,2018-03-27,3629,2021-11-20,1999.99,"Third Quantile"
"31","NVIDIA TITAN Xp",9524,886,18490,2017-04-06,1200,2021-05-25,1790,"Third Quantile"
"32","GeForce RTX 4060",9365,1011,19564,2023-07-05,389.99,2024-02-19,294.76,"First Quantile"
"33","Radeon RX 7600",8834,960,16298,2023-06-24,257.99,2024-03-18,269.99,"First Quantile"
"34","GeForce RTX 3060 12GB",8638,966,17049,2021-02-25,329,2023-10-25,254.99,"First Quantile"
"35","GeForce RTX 2080 SUPER",8514,924,19581,2019-07-23,699,2022-11-19,740.99,"Third Quantile"
"36","GeForce RTX 2080",8098,911,18811,2018-09-27,839.99,2023-06-24,800.61,"Third Quantile"
"37","Radeon RX 6650 XT",7939,909,17300,2022-05-27,399.99,2024-02-15,314.93,"Second Quantile"
"38","Radeon RX 5700 XT",7933,925,16639,2019-07-13,399.99,2024-01-16,506.64,"Third Quantile"
"39","Radeon RX 6600 XT",7933,914,16488,2021-09-01,777.9,2023-12-02,349.99,"Second Quantile"
"40","GeForce RTX 2070 SUPER",7769,885,18252,2019-07-09,499,2023-05-26,497.95,"Third Quantile"
"41","Radeon RX 6600M",5785,704,13657,2021-12-12,549.99,2024-01-09,219.99,"Second Quantile"
"42","GeForce GTX TITAN X",5782,842,13044,2015-03-28,999.99,2022-03-30,1098.98,"Third Quantile"
"43","GeForce RTX 2060",5586,749,14150,2019-01-19,349.99,2023-09-27,209.99,"Second Quantile"
"44","Intel Arc A750",5503,673,11946,2023-01-21,332.55,2024-02-15,209.99,"First Quantile"
"45","Radeon RX 6700M",5388,578,13453,2022-09-03,369.99,2024-01-21,299.99,"First Quantile"
"46","GeForce GTX 1660 Ti",5318,812,12929,2019-02-26,279.99,2024-03-25,328.72,"Second Quantile"
"47","Radeon Pro Duo",5222,765,8164,2016-09-23,1353.44,2023-06-10,3970.36,"Third Quantile"
"48","Radeon Pro W5500",5199,832,9120,2020-04-02,399.99,2022-12-14,409.99,"First Quantile"
"49","GeForce GTX 1660 SUPER",5169,809,12773,2019-12-11,249.99,2023-09-14,199.99,"Second Quantile"
"50","Intel Arc A580",5143,719,11559,2023-12-02,427.98,2024-04-08,179.99,"First Quantile"
"51","GeForce GTX 1660",5046,782,11690,2019-04-13,219.99,2024-03-26,282.05,"First Quantile"
"52","GeForce GTX 980",4800,798,11126,2014-11-12,599.99,2022-04-10,247.47,"Third Quantile"
"53","Radeon RX 6500 XT",4721,816,9528,2022-02-14,279.99,2024-01-09,159.99,"First Quantile"
"54","Radeon RX 5500 XT",4653,782,9158,2019-12-30,219.99,2024-02-19,163.16,"First Quantile"
"55","GeForce GTX 1650 SUPER",4517,752,10153,2019-12-28,164.99,2024-03-26,298.09,"First Quantile"
"56","Radeon R9 Fury + Fury X",4355,811,9741,2015-08-25,539.99,2021-08-28,479.99,"Third Quantile"
"57","GeForce GTX 1060",4296,751,10072,2016-08-19,249.99,2021-12-24,578.6,"Second Quantile"
"58","Radeon R9 Fury",4154,796,9592,2016-01-08,626.01,2020-03-10,249.95,"Third Quantile"
"59","GeForce GTX Titan",4127,630,8190,2013-03-18,1019.99,2021-05-13,740,"Third Quantile"
"60","GeForce GTX 1060 3GB",4114,775,9758,2016-09-12,199.99,2022-06-12,269.99,"Second Quantile"
"61","GeForce GTX 780 Ti",4112,635,9517,2013-11-21,699.99,2021-05-13,389,"Second Quantile"
"62","GeForce GTX 970",4092,772,9645,2014-09-27,329.99,2021-07-03,293.75,"Second Quantile"
"63","Radeon RX 590",4009,791,9416,2019-01-06,259.99,2022-03-29,209.99,"Second Quantile"
"64","Radeon RX 470/570",3852,727,8017,2016-09-18,194.99,2022-03-30,364.99,"Second Quantile"
"65","GeForce RTX 3050 Laptop GPU",3827,473,9457,2022-02-19,399.99,2022-10-25,284.99,"Second Quantile"
"66","GeForce GTX TITAN Black",3756,591,8939,2014-05-28,1203.46,2021-05-13,735,"Third Quantile"
"67","Radeon RX 580",3636,770,8874,2017-06-14,629.99,2022-05-25,364.01,"Third Quantile"
"68","Radeon RX 480",3571,777,8623,2016-08-11,299.99,2021-08-28,389,"Second Quantile"
"69","GeForce GTX TITAN Z",3419,656,8987,2014-12-09,1589.91,2021-07-03,1510,"Third Quantile"
"70","GeForce GTX 780",3330,590,8009,2013-07-10,786.44,2021-05-13,450,"Third Quantile"
