CPU,URL,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
Intel Core i9-14900K,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900K&id=5717,,,,
Intel Core i9-13900KS,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KS&id=5160,13 Jan 23,729.99,18 May 23,988.99
Intel Core i9-13900K,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900K&id=5022,27 Sep 22,589,31 May 23,"1,049.99"
Intel Core i9-13900KF,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KF&id=5055,01 Sep 22,564,17 May 23,548.99
Intel Core i9-14900,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900&id=5886,,,,
Intel Core i9-14900F,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900F&id=5833,,,,
Intel Core i7-14700KF,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700KF&id=5723,,,,
Intel Core i7-14700K,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700K&id=5719,,,,
Intel Core i9-13900F,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900F&id=5143,01 Jan 23,524,29 May 23,569.99
Intel Core i9-14900T,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900T&id=5903,,,,
Intel Core i7-13700K,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700K&id=5060,20 Oct 22,409,14 May 23,"1,114.99"
Intel Core i7-13700KF,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700KF&id=5061,20 Oct 22,384,30 Apr 23,390.99
Intel Core i9-12900KS,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KS&id=4813,01 Jan 22,739,30 Mar 23,652.35
Intel Core i9-13900,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900&id=5176,01 Jan 23,549,22 May 23,549.99
Intel Core i7-14700F,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700F&id=5834,,,,
Intel Core i5-14600KF,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600KF&id=5722,,,,
AMD Ryzen 9 7950X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X&id=5031,26 Sep 22,699,02 Jun 23,555.99
Intel Core i5-14600K,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600K&id=5720,,,,
AMD Ryzen 9 7900X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X&id=5027,28 Sep 22,549.99,04 May 23,433.79
Intel Core i5-14600,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600&id=5865,,,,
