Name,Link,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
GeForce RTX 4090,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090&id=4606,,,,
RTX 6000 Ada Generation,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+6000+Ada+Generation&id=4768,,,,
GeForce RTX 4080,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080&id=4622,17 Nov 22,"1,399.99",24 Feb 24,"1,111.68"
GeForce RTX 4080 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080+SUPER&id=4984,01 Feb 24,999.99,09 Apr 24,999.99
GeForce RTX 4070 Ti SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti+SUPER&id=4980,26 Jan 24,799.99,09 Apr 24,849.99
GeForce RTX 4070 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti&id=4699,14 Jan 23,849.99,27 Feb 24,789.99
Radeon RX 7900 XTX,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XTX&id=4644,13 Dec 22,999,23 Jan 24,959.99
GeForce RTX 4070 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+SUPER&id=4973,19 Jan 24,609.99,10 Feb 24,589.99
GeForce RTX 3090 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090+Ti&id=4524,02 Apr 22,"2,099.99",12 Mar 24,"2,055.94"
Radeon RX 7900 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XT&id=4646,13 Dec 22,899,20 Mar 24,727.89
Radeon PRO W7900,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7900&id=4833,,,,
GeForce RTX 3090,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090&id=4284,24 Sep 20,"1,549.99",01 Apr 24,"1,875.02"
GeForce RTX 3080 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti&id=4409,17 Jun 21,"2,719.99",01 Apr 24,"1,468.05"
RTX 5000 Ada Generation,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+5000+Ada+Generation&id=4935,,,,
Radeon RX 7900 GRE,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+GRE&id=4906,27 Feb 24,569.99,22 Mar 24,549.99
GeForce RTX 3080 12GB,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+12GB&id=4601,,,,
Radeon RX 6900 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6900+XT&id=4322,08 Dec 20,999,28 Nov 23,926.61
RTX A6000,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A6000&id=4337,05 Sep 21,"4,999",30 May 23,"4,673.98"
GeForce RTX 4070,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070&id=4795,20 Apr 23,599.99,20 Feb 24,524.99
GeForce RTX 3080,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080&id=4282,18 Sep 20,749.99,17 Mar 24,499.99
Radeon RX 6950 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6950+XT&id=4540,01 May 22,"1,099",01 Apr 24,920.89
Radeon PRO W7800,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7800&id=4836,,,,
Radeon RX 6800 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800+XT&id=4312,18 Nov 20,649,07 Apr 24,834.99
Radeon RX 7800 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7800+XT&id=4917,10 Sep 23,519.99,20 Mar 24,499.99
RTX A5500,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5500&id=4539,,,,
RTX 4000 Ada Generation,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+4000+Ada+Generation&id=4942,,,,
RTX A5000,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5000&id=4390,,,,
GeForce RTX 4090 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090+Laptop+GPU&id=4737,,,,
Radeon RX 7700 XT,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7700+XT&id=4919,09 Sep 23,449.99,12 Mar 24,419.99
