"CPU","URL","ReleaseQuarters","ReleaseYear","CurrentPrice","Score"
"Intel Core i9-14900K","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900K&id=5717","Q4",2023,589,61046
"Intel Core i9-13900KS","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KS&id=5160","Q1",2023,999.99,61899
"Intel Core i9-13900K","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900K&id=5022","Q3",2022,569.97,59349
"Intel Core i9-13900KF","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KF&id=5055","Q4",2022,546.49,58678
"Intel Core i9-14900","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900&id=5886","Q1",2024,549,49392
"Intel Core i9-14900F","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900F&id=5833","Q1",2024,524,52059
"Intel Core i7-14700KF","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700KF&id=5723","Q4",2023,384,53451
"Intel Core i7-14700K","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700K&id=5719","Q4",2023,409,53642
"Intel Core i9-13900F","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900F&id=5143","Q1",2023,526.03,51623
"Intel Core i9-14900T","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-14900T&id=5903","Q1",2024,549,43527
"Intel Core i7-13700K","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700K&id=5060","Q4",2022,407.99,46552
"Intel Core i7-13700KF","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700KF&id=5061","Q4",2022,390.98,46381
"Intel Core i9-12900KS","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KS&id=4813","Q2",2022,399.99,44157
"Intel Core i9-13900","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900&id=5176","Q1",2023,549.99,47920
"Intel Core i7-14700F","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700F&id=5834","Q1",2024,359,44921
"Intel Core i5-14600KF","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600KF&id=5722","Q4",2023,294,39393
"AMD Ryzen 9 7950X","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X&id=5031","Q3",2022,540.99,62943
"Intel Core i5-14600K","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600K&id=5720","Q4",2023,319,39255
"AMD Ryzen 9 7900X","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X&id=5027","Q3",2022,409,51931
"Intel Core i5-14600","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600&id=5865","Q1",2024,255,36251
"Intel Core i9-13900T","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900T&id=5154","Q1",2023,549,44297
"AMD Ryzen 7 7700X","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7700X&id=5036","Q4",2022,315.75,36020
"Intel Core i7-14700","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-14700&id=5852","Q1",2024,384,46566
"Intel Core i9-12900K","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900K&id=4597","Q4",2021,352.99,41361
"Intel Core i9-12900KF","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KF&id=4611","Q4",2021,398.99,41158
"AMD Ryzen 5 7600X","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+7600X&id=5033","Q3",2022,218,28572
"AMD Ryzen 9 7900","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900&id=5167","Q1",2023,419.99,48842
"Intel Core i5-13600K","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600K&id=5008","Q3",2022,309.99,38139
"AMD Ryzen 9 7950X3D","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7950X3D&id=5234","Q1",2023,661.08,62536
"Intel Core i7-13700","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700&id=4992","Q3",2022,349.99,37655
"Intel Core i5-13600KF","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600KF&id=5059","Q4",2022,292.99,37914
"Intel Core i7-13700F","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700F&id=5163","Q1",2023,360.99,39246
"AMD Ryzen 9 7900X3D","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X3D&id=5240","Q1",2023,561.05,50408
"Intel Core i9-12900F","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900F&id=4694","Q1",2022,425,36971
"AMD Ryzen 7 7700","https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7700&id=5169","Q1",2023,319.79,34598
"Intel Core i5-13600","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600&id=5159","Q1",2023,255,32488
"Intel Core i9-12900","https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900&id=4729","Q1",2022,449.99,34358
