"Name","Score","Link","G2DScore","G3DScore"
"GeForce RTX 4090","28,153","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4090&id=4606","1304","38644"
"RTX 6000 Ada Generation","23,509","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+6000+Ada+Generation&id=4768","938","27954"
"GeForce RTX 4080","21,544","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080&id=4622","1241","34621"
"GeForce RTX 4080 SUPER","20,488","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4080+SUPER&id=4984","1226","34156"
"GeForce RTX 4070 Ti SUPER","19,163","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti+SUPER&id=4980","1201","31666"
"GeForce RTX 4070 Ti","18,990","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+Ti&id=4699","1196","31772"
"Radeon RX 7900 XTX","18,311","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XTX&id=4644","1232","30899"
"GeForce RTX 4070 SUPER","17,838","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070+SUPER&id=4973","1148","29985"
"RTX 5000 Ada Generation","17,754","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+5000+Ada+Generation&id=4935","903","24507"
"GeForce RTX 3090 Ti","17,512","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090+Ti&id=4524","1228","29763"
"Radeon RX 7900 XT","17,480","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XT&id=4646","1187","28822"
"GeForce RTX 3090","16,017","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3090&id=4284","1051","26788"
"GeForce RTX 3080 Ti","15,952","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+Ti&id=4409","1090","27182"
"Radeon PRO W7900","15,640","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+PRO+W7900&id=4833","1120","29191"
"GeForce RTX 3080 12GB","15,602","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3080+12GB&id=4601","1087","26691"
"Radeon RX 7900 GRE","15,523","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+GRE&id=4906","1126","26587"
"Radeon RX 6900 XT","15,246","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6900+XT&id=4322","1046","26848"
"RTX A6000","15,092","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A6000&id=4337","906","22772"
"GeForce RTX 4070","15,054","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4070&id=4795","1119","27005"
