"Name","CurrentPrice","CurrentPrice2","URL","Score","ReleaseQuarters","ReleaseYear"
"NVMe 256GB","19.00","$19 USD (2024-04-28)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+256GB","12486","Q1","2021"
"M.2 PCIE 2280 SSD 512GB","36.99","$36.99 USD (2024-05-09)","https://www.harddrivebenchmark.net/hdd.php?hdd=M.2+PCIE+2280+SSD+512GB","19786","Q1","2024"
"ADATA LEGEND 900","79.99","$79.99 USD (2024-02-03)","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+900","40048","Q3","2023"
"Corsair Force MP510 480GB","32.95","$32.95 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+Force+MP510+480GB","16370","Q4","2018"
"GEN4 1TB","69.99","$69.99 USD (2024-05-11)","https://www.harddrivebenchmark.net/hdd.php?hdd=GEN4+1TB","34356","Q4","2023"
"CT1000T500SSD5","89.99","$89.99 USD (2024-05-13)","https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000T500SSD5","41740","Q4","2023"
"ADATA LEGEND 960","97.68","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+960","44922","Q2","2023"
"Samsung SSD 990 PRO 1TB","124.99","$124.99 USD (2024-05-06)","https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+990+PRO+1TB","49174","Q4","2022"
"NVMe PC SN730 NVMe WD","49.00","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN730+NVMe+WD","20179","Q4","2020"
"CT1000P3PSSD8","69.99","$69.99 USD (2024-05-12)","https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000P3PSSD8","26675","Q3","2022"
"NVMe SSD","35.00","$35 USD (2024-02-11)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+SSD","13082","Q4","2023"
"Viper VP4300 2TB","114.99","$114.99 USD (2024-05-09)","https://www.harddrivebenchmark.net/hdd.php?hdd=Viper+VP4300+2TB","41750","Q3","2021"
"Crucial P3 500GB","51.60","$51.6 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P3+500GB","18199","Q3","2022"
"Corsair MP600 MINI","79.99","$79.99 USD (2024-04-03)","https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+MP600+MINI","28077","Q4","2023"
"Corsair MP600 CORE XT","77.99","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+MP600+CORE+XT","29867","Q2","2023"
"NVMe WD Green SN350 1TB","64.99","$64.99 USD (2024-05-11)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+Green+SN350+1TB","22746","Q1","2022"
"KINGSTON KC3000 1TB","132.07","$132.07 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON+KC3000+1TB","45835","Q4","2021"
"Patriot M.2 P310 960GB","56.99","$56.99 USD (2024-05-08)","https://www.harddrivebenchmark.net/hdd.php?hdd=Patriot+M.2+P310+960GB","19210","Q1","2023"
"Samsung SSD 990 EVO 1TB","89.99","$89.99 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+990+EVO+1TB","30264","Q1","2024"
"NVMe WD Blue SN570 1TB","79.99","$79.99 USD (2024-05-13)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+Blue+SN570+1TB","26468","Q1","2022"
"KXG60ZNV512G TOSHIBA","55.00","$55 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G+TOSHIBA","17912","Q3","2019"
"INTEL SSDPEKNU512GZ","51.90","$51.9 USD (2024-04-30)","https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL+SSDPEKNU512GZ","16810","Q2","2021"
"NVMe Samsung 980 PRO","94.99","$94.99 USD (2024-05-08)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+Samsung+980+PRO","29902","Q1","2022"
"WDC PC SN730 SDBPNTY","78.00","$78 USD (2024-04-23)","https://www.harddrivebenchmark.net/hdd.php?hdd=WDC+PC+SN730+SDBPNTY","23649","Q4","2020"
"GIGABYTE AORUS Gen5 12000 1TB","183.04","$183.04 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+AORUS+Gen5+12000+1TB","55095","Q4","2023"
"Samsung SSD 990 PRO 2TB","169.99","$169.99 USD (2024-04-29)","https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung+SSD+990+PRO+2TB","50755","Q4","2022"
"NVMe ADATA LEGEND 700","49.64","$49.64 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+ADATA+LEGEND+700","14812","Q1","2023"
"NVMe WD BLACK SN850 1TB","149.99","$149.99 USD (2024-05-07)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+WD+BLACK+SN850+1TB","44294","Q4","2021"
"Crucial T705 2TB Gen5 M.2","279.99","$279.99 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+T705+2TB+Gen5+M.2","80496","Q1","2024"
"Crucial P5 Plus 1TB","133.06","$133.06 USD (2024-05-12)","https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+P5+Plus+1TB","37766","Q3","2021"
"IM2P33F3 NVMe ADATA 256GB","34.99","$34.99 USD (2024-03-16)","https://www.harddrivebenchmark.net/hdd.php?hdd=IM2P33F3+NVMe+ADATA+256GB","9924","Q3","2020"
"Viper VP4300 1TB","147.62","$147.62 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=Viper+VP4300+1TB","41149","Q3","2021"
"NVMe PCIe 512GB","45.99","$45.99 USD (2024-04-30)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PCIe+512GB","12448","Q2","2021"
"Corsair MP600 PRO","144.99","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair+MP600+PRO","48450","Q2","2022"
"NVMe PC SN530 NVMe WDC 512GB","59.30","$59.3 USD (2024-05-08)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN530+NVMe+WDC+512GB","14846","Q1","2021"
"NVMe PC SN520 NVMe WD","32.60","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe+PC+SN520+NVMe+WD","13734","Q3","2019"
"CT2000P3PSSD8","117.99","$117.99 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=CT2000P3PSSD8","28970","Q3","2022"
"GIGABYTE AORUS Gen5 12000 SSD 2TB","302.39","$302.39 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+AORUS+Gen5+12000+SSD+2TB","73048","Q4","2023"
"ADATA LEGEND 710","73.43","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+710","18194","Q3","2023"
"ADATA LEGEND 800","88.59","NA","https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+LEGEND+800","22193","Q2","2023"
"NVME SSD 128GB","34.99","$34.99 USD (2024-05-08)","https://www.harddrivebenchmark.net/hdd.php?hdd=NVME+SSD+128GB","7877","Q2","2020"
"Crucial T700 2TB","324.38","$324.38 USD (2024-04-26)","https://www.harddrivebenchmark.net/hdd.php?hdd=Crucial+T700+2TB","72918","Q2","2023"
"SanDisk Extreme Pro 1TB","103.00","$103 USD (2024-05-13)","https://www.harddrivebenchmark.net/hdd.php?hdd=SanDisk+Extreme+Pro+1TB","22655","Q1","2019"
"GIGABYTE AG510K2TB","286.42","$286.42 USD (2024-05-14)","https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE+AG510K2TB","60830","Q2","2023"
"CT1000P5SSD8","119.99","$119.99 USD (2024-05-07)","https://www.harddrivebenchmark.net/hdd.php?hdd=CT1000P5SSD8","25118","Q3","2020"
