Memory,Link,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
Corsair CMD32GX4M4B3466C16 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3466C16+8GB&id=12734,15 Mar 19,781.12,13 Apr 19,644.5
Corsair CMR64GX4M8X3800C19 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR64GX4M8X3800C19+8GB&id=12283,,,,
Samsung M393A1G43EB1-CRC 8GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G43EB1-CRC+8GB&id=9624,,,,
Samsung M393A4K40BB2-CTD 32GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40BB2-CTD+32GB&id=13002,30 Jan 19,292.02,08 Jun 19,189.18
Samsung M393A8G40MB2-CVF 64GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A8G40MB2-CVF+64GB&id=17357,,,,
Samsung M393A2K40BB1-CRC 16GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K40BB1-CRC+16GB&id=8802,05 Jun 16,149.99,23 Mar 19,137.99
Samsung M393A2K43BB1-CTD 16GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K43BB1-CTD+16GB&id=11422,,,,
Samsung M393A4K40BB0-CPB 32GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40BB0-CPB+32GB&id=7563,02 Jul 15,339.99,08 May 19,190.65
Thermaltake Technology Co Ltd R016D408GX2-4600C19A 8GB,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R016D408GX2-4600C19A+8GB&id=17975,18 Jan 22,319,01 Dec 22,269
Samsung M393A4K40CB2-CTD 32GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40CB2-CTD+32GB&id=13382,,,,
Corsair CMW64GX4M8C3200C16 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M8C3200C16+8GB&id=12546,,,,
Corsair CMK64GX4M4K3733C17 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4K3733C17+16GB&id=11901,,,,
Samsung M393A1G40DB1-CRC 8GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G40DB1-CRC+8GB&id=9128,13 Jul 16,55.99,04 Nov 16,99.99
Samsung M393A4K40BB1-CRC 32GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40BB1-CRC+32GB&id=8929,05 Jun 16,269.99,08 Mar 19,263.33
Corsair CMK32GX4M4K4133C19 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4K4133C19+8GB&id=12664,04 Jan 19,529.99,30 May 19,519.99
Samsung M393A1K43BB0-CRC 8GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1K43BB0-CRC+8GB&id=9881,,,,
Corsair CMD64GX4M8B3200C16 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8B3200C16+8GB&id=8869,09 May 16,549.99,04 Jan 19,899.99
Samsung M386A4G40DM0-CPB 32GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M386A4G40DM0-CPB+32GB&id=7225,01 Apr 15,389.99,04 Jan 19,308.61
Samsung M393A2G40DB1-CRC 16GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40DB1-CRC+16GB&id=8993,09 Jun 16,93.99,29 Sep 16,169.99
Corsair CMK128GX4M8X3200C16 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8X3200C16+16GB&id=12931,,,,
Samsung M393A2G40EB1-CRC 16GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40EB1-CRC+16GB&id=8965,,,,
Corsair CMK32GX4M4B3466C16 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX4M4B3466C16+8GB&id=8362,06 Feb 16,299.99,07 May 17,389.99
Samsung M393A2G40DB0-CPB 16GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40DB0-CPB+16GB&id=6446,17 Jan 15,199.99,08 May 19,59.75
Corsair CMD128GX4M8A2666C15 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8A2666C15+16GB&id=9262,09 Aug 16,879.99,02 Apr 19,999.99
Corsair CMK64GX4M8X4000C19 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8X4000C19+8GB&id=12289,,,,
Corsair CMD64GX4M4B3333C16 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3333C16+16GB&id=8657,26 Mar 16,549.99,25 Apr 19,996.61
Corsair CMD16GX4M4B3200C16 4GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C16+4GB&id=6477,23 Jan 15,685.99,16 Feb 19,259.99
Corsair CMD64GX4M8A2666C15 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2666C15+8GB&id=7034,28 Jun 15,989.99,16 May 19,629.99
Mushkin 99[2/7/4]200[F/T] 8GB,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D200%5BF%2FT%5D+8GB&id=9564,,,,
Corsair CMR64GX4M4C3000C15 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR64GX4M4C3000C15+16GB&id=11373,04 Jan 19,529.99,01 May 19,769.99
Samsung M386A8K40BM1-CRC 64GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M386A8K40BM1-CRC+64GB&id=9950,04 Jan 19,699.99,08 Jun 19,329.99
Corsair CMW128GX4M8C3200C16 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW128GX4M8C3200C16+16GB&id=12835,,,,
Samsung M393A1G43DB0-CPB 8GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G43DB0-CPB+8GB&id=6441,25 Jul 15,86.99,29 Apr 19,66.99
Samsung M393A2K43BB1-CRC 16GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K43BB1-CRC+16GB&id=8931,21 Jul 16,111.08,11 Mar 19,215.92
Corsair CMK64GX4M8Z2933C16 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8Z2933C16+8GB&id=12872,,,,
Corsair CMK64GX4M4B2800C14 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4B2800C14+16GB&id=8280,24 Jan 16,499.99,18 Feb 17,464.99
Corsair CMK128GX4M8A2666C16 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8A2666C16+16GB&id=9035,,,,
Corsair CMD32GX4M4C3000C15 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4C3000C15+8GB&id=8946,29 May 16,209.99,31 Mar 19,699.99
Samsung M393A1G40DB0-CPB 8GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G40DB0-CPB+8GB&id=6379,30 Sep 14,192.82,04 Jan 19,159.94
Corsair CMD64GX4M4A2666C15 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4A2666C15+16GB&id=9173,25 Nov 16,469.99,11 Jun 19,369.99
Samsung M393A4K40CB1-CRC 32GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40CB1-CRC+32GB&id=11896,,,,
Corsair CMT16GX4M2D3600C18 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT16GX4M2D3600C18+8GB&id=16695,03 Sep 21,201.98,01 Mar 22,199
Corsair CMSX64GX4M4A2666C18 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMSX64GX4M4A2666C18+16GB&id=9805,,,,
Corsair CMK128GX4M8B3000C16 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8B3000C16+16GB&id=9390,,,,
Samsung M393A5143DB0-CPB 4GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A5143DB0-CPB+4GB&id=7129,13 Aug 16,120,05 May 19,44.4
Corsair CMW64GX4M8X3600C18 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW64GX4M8X3600C18+8GB&id=12477,04 Jan 19,809.99,17 May 19,639.99
Corsair CMD64GX4M8A2400C14 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2400C14+8GB&id=7026,29 May 15,899.99,12 Feb 19,989.33
Corsair CMN64GX4M4Z3600C18 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN64GX4M4Z3600C18+16GB&id=17386,23 Oct 21,629,10 Oct 23,316.95
Corsair CMK64GX4M8X4133C19 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M8X4133C19+8GB&id=12140,,,,
Corsair CMK64GX4M4B3333C16 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX4M4B3333C16+16GB&id=8395,10 Feb 16,519.99,10 Jan 19,759.99
Crucial Technology CT16G4DFRA32A.C16FN 16GB,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFRA32A.C16FN+16GB&id=16916,31 Jan 23,41.99,16 Jul 23,28.99
Corsair CMD64GX4M4C3000C15 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4C3000C15+16GB&id=9920,07 Jan 17,489.99,02 Mar 19,578.81
Thermaltake Technology Co Ltd R020D408GX2-4400C19A 8GB,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R020D408GX2-4400C19A+8GB&id=15116,17 Nov 21,229,25 Mar 23,114.5
Corsair CMD16GX4M4B3600C18 4GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3600C18+4GB&id=9100,13 Jul 16,239.99,11 Feb 19,631.17
Corsair CMN32GX4M2Z4600C18 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN32GX4M2Z4600C18+16GB&id=17379,23 Oct 21,499,18 Oct 23,389.95
Crucial Technology CT4G4DFS8213.C8FAR 4GB,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS8213.C8FAR+4GB&id=6293,12 Sep 14,49.99,06 Mar 15,43.99
Corsair CMN32GX4M2Z4000C18 16GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN32GX4M2Z4000C18+16GB&id=17343,,,,
Samsung M393A2G40EB2-CTD 16GB,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40EB2-CTD+16GB&id=11474,04 Jan 19,198.6,24 May 19,112.99
Thermaltake Technology Co Ltd R022D408GX2-4600C19A 8GB,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R022D408GX2-4600C19A+8GB&id=15890,17 Nov 21,309,15 Apr 23,209
Corsair CMR32GX4M4C3466C16 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMR32GX4M4C3466C16+8GB&id=11049,,,,
Thermaltake Technology Co Ltd R009D408GX2-4000C19A 8GB,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R009D408GX2-4000C19A+8GB&id=14819,17 Nov 21,209,15 Apr 23,159
Corsair CMD32GX4M4A2666C15 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2666C15+8GB&id=6482,16 Oct 14,849.99,04 Jan 19,279.99
Thermaltake Technology Co Ltd R010D408GX2-3600C18A 8GB,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R010D408GX2-3600C18A+8GB&id=16798,,,,
Corsair CMW32GX4M4Z2933C16 8GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMW32GX4M4Z2933C16+8GB&id=12914,13 Jan 19,279.99,30 Apr 19,209.99
Corsair CMK16GX4M4B3600C18 4GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M4B3600C18+4GB&id=9813,,,,
Crucial Technology CT16G4DFD832A.C16FJ 16GB,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD832A.C16FJ+16GB&id=15253,,,,
Corsair CMN128GX4M4Z3600C18 32GB,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMN128GX4M4Z3600C18+32GB&id=18299,,,,
