"","CPU","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Score"
"1","Intel Core i9-14900K",2023-12-31,589,2023-12-31,589,61046
"2","Intel Core i9-13900KS",2023-01-13,729.99,2023-05-18,988.99,61899
"3","Intel Core i9-13900K",2022-09-27,589,2023-05-31,1049.99,59349
"4","Intel Core i9-13900KF",2022-09-01,564,2023-05-17,548.99,58678
"5","Intel Core i9-14900",2024-03-31,549,2024-03-31,549,49392
"6","Intel Core i9-14900F",2024-03-31,524,2024-03-31,524,52059
"7","Intel Core i7-14700KF",2023-12-31,384,2023-12-31,384,53451
"8","Intel Core i7-14700K",2023-12-31,409,2023-12-31,409,53642
"9","Intel Core i9-13900F",2023-01-01,524,2023-05-29,569.99,51623
"10","Intel Core i9-14900T",2024-03-31,549,2024-03-31,549,43527
"11","Intel Core i7-13700K",2022-10-20,409,2023-05-14,1114.99,46552
"12","Intel Core i7-13700KF",2022-10-20,384,2023-04-30,390.99,46381
"13","Intel Core i9-12900KS",2022-01-01,739,2023-03-30,652.35,44157
"14","Intel Core i9-13900",2023-01-01,549,2023-05-22,549.99,47920
"15","Intel Core i7-14700F",2024-03-31,359,2024-03-31,359,44921
"16","Intel Core i5-14600KF",2023-12-31,294,2023-12-31,294,39393
"17","AMD Ryzen 9 7950X",2022-09-26,699,2023-06-02,555.99,62943
"18","Intel Core i5-14600K",2023-12-31,319,2023-12-31,319,39255
"19","AMD Ryzen 9 7900X",2022-09-28,549.99,2023-05-04,433.79,51931
"20","Intel Core i5-14600",2024-03-31,255,2024-03-31,255,36251
"21","Intel Core i9-13900T",2023-03-31,549,2023-03-31,549,44297
"22","AMD Ryzen 7 7700X",2022-10-02,399.99,2023-06-01,377.99,36020
"23","Intel Core i7-14700",2024-03-31,384,2024-03-31,384,46566
"24","Intel Core i9-12900K",2021-10-01,589,2023-03-25,355.99,41361
"25","Intel Core i9-12900KF",2021-10-01,564,2023-04-16,567,41158
"26","AMD Ryzen 5 7600X",2022-09-28,299.99,2023-05-10,239.89,28572
"27","AMD Ryzen 9 7900",2023-03-31,419.99,2023-03-31,419.99,48842
"28","Intel Core i5-13600K",2022-09-27,319,2023-05-19,314.99,38139
"29","AMD Ryzen 9 7950X3D",2023-03-03,918.99,2023-06-02,799.99,62536
"30","Intel Core i7-13700",2023-01-01,384,2023-05-10,392.99,37655
"31","Intel Core i5-13600KF",2022-09-01,294,2023-04-30,294.99,37914
"32","Intel Core i7-13700F",2023-01-01,359,2023-05-08,362.99,39246
"33","AMD Ryzen 9 7900X3D",2023-03-03,794.99,2023-05-23,599.99,50408
"34","Intel Core i9-12900F",2022-01-01,464,2023-03-08,540,36971
"35","AMD Ryzen 7 7700",2023-03-31,319.79,2023-03-31,319.79,34598
"36","Intel Core i5-13600",2023-03-31,255,2023-03-31,255,32488
"37","Intel Core i9-12900",2022-01-01,489,2023-03-08,568,34358
"38","Intel Core i7-12700K",2021-12-31,409,2021-12-31,409,34652
"39","Intel Core i7-12700KF",2021-12-31,276,2021-12-31,276,34462
"40","Intel Core i5-14500",2024-03-31,232,2024-03-31,232,32734
"41","Intel Core i5-12600K",2021-10-01,289,2023-05-12,235.99,27748
"43","Intel Core i5-14500T",2024-03-31,232,2024-03-31,232,22398
"44","Intel Core i5-12600KF",2021-10-01,264,2023-04-24,309.77,27434
"45","AMD Ryzen 5 7600",2023-03-31,219.99,2023-03-31,219.99,27247
"46","Intel Core i5-13490F",2023-05-02,193.49,2023-06-02,263.66,27539
"47","Intel Core i7-12700",2022-01-01,339,2023-05-20,383.99,30834
"48","Intel Core i7-13700T",2023-03-31,384,2023-03-31,384,27450
"49","Intel Core i5-13500",2022-09-30,247.98,2022-09-30,247.98,32004
"50","Intel Core i7-12700F",2022-01-01,314,2023-05-19,293.99,30659
"51","Intel Core i5-13600T",2023-03-31,255,2023-03-31,255,26096
"52","Intel Core i5-12600",2022-01-23,469.12,2023-03-08,260,21278
"53","Intel Core i9-12900T",2022-03-31,489,2022-03-31,489,30113
"54","Intel Core i3-14100F",2024-03-31,109,2024-03-31,109,15320
"55","Intel Core i5-14400",2024-03-31,221,2024-03-31,221,26855
"56","Intel Core i7-12700E",2022-09-30,344,2022-09-30,344,29384
"57","AMD Ryzen 7 7800X3D",2023-06-30,439,2023-06-30,439,34383
"58","Intel Core i5-14400F",2024-03-31,196,2024-03-31,196,25891
"59","Intel Core i5-12490F",2022-07-01,183.41,2023-05-13,181.45,20523
"60","Intel Core i5-12500",2022-03-31,202,2022-03-31,202,19930
"61","Intel Core i5-13400",2023-01-01,221,2023-05-22,199.99,24927
"62","Intel Core i5-13400F",2023-01-01,196,2023-05-20,208.99,25268
"63","Intel Core i5-13500T",2023-03-31,232,2023-03-31,232,23296
"64","Intel Core i3-13100",2023-01-01,134,2023-05-29,149.99,14693
"65","Intel Core i7-12700T",2022-06-30,339,2022-06-30,339,21589
"66","Intel Core i3-12300",2022-03-31,143,2022-03-31,143,14695
"67","Intel Core i3-13100F",2023-03-31,110.99,2023-03-31,110.99,14653
"68","Intel Core i9-11900KF @ 3.50GHz",2021-01-01,513,2023-05-31,396.78,25269
"69","Intel Core i5-12400",2022-03-31,192,2022-03-31,192,19425
"71","Intel Core i5-12500T",2022-06-30,202,2022-06-30,202,16575
"72","Intel Core i9-11900K @ 3.50GHz",2021-03-01,599.99,2023-05-01,442.99,25324
"73","Intel Core i5-12400F",2022-01-11,179.99,2023-05-03,184,19535
"74","Intel Core i5-13400T",2023-06-30,221,2023-06-30,221,21110
"76","AMD Ryzen 9 5900X",2020-11-05,549,2023-03-18,365.98,39193
"77","AMD Ryzen 9 5950X",2020-11-05,799,2022-12-26,534.99,45682
"78","Intel Core i3-12100F",2022-01-08,109.95,2023-05-03,136.99,14153
"79","AMD Ryzen 7 5800X",2020-11-06,449.99,2023-03-29,259,27911
"80","Intel Core i9-11900 @ 2.50GHz",2021-01-01,439,2023-05-09,499.97,22966
"81","Intel Core i3-12100",2022-03-31,122,2022-03-31,122,13537
"82","Intel Core i9-11900F @ 2.50GHz",2021-01-01,422,2023-04-27,489.99,22580
"83","Intel Core i7-11700K @ 3.60GHz",2021-03-26,418.99,2023-04-05,268.99,24657
"84","Intel Core i3-13100T",2023-06-30,134,2023-06-30,134,13073
"85","Intel Core i3-12300T",2022-12-31,157,2022-12-31,157,13251
"86","Intel Core i7-11700KF @ 3.60GHz",2021-01-01,374,2023-04-19,349.99,24012
"87","AMD Ryzen 7 5700X",2022-04-17,366,2023-05-21,192.99,26705
"88","Intel Core i5-12400T",2022-09-30,149.99,2022-09-30,149.99,16167
"89","AMD Ryzen 5 5600X",2020-11-05,299,2023-03-27,168.07,21911
"90","Intel Core i5-11600K @ 3.90GHz",2021-01-01,262,2023-05-08,248.98,19647
"92","Intel Core i5-11600KF @ 3.90GHz",2021-01-01,237,2023-05-10,229.99,19664
"94","Intel Core i9-11900T @ 1.50GHz",2021-06-30,439,2021-06-30,439,18968
"96","Intel Core i9-11900KB @ 3.30GHz",2021-09-30,539,2021-09-30,539,22901
"97","Intel Core i7-11700F @ 2.50GHz",2021-01-01,298,2023-04-02,249,21059
"98","Intel Core i5-11600 @ 2.80GHz",2021-05-27,289.89,2023-05-22,239.89,18113
"99","AMD Ryzen 7 5700G",2022-02-18,690.38,2023-05-18,186.29,24601
"100","Intel Core i3-12100T",2022-03-31,122,2022-03-31,122,12676
"101","AMD Ryzen 5 5600",2022-04-24,410.53,2023-05-07,132.88,21569
"102","Intel 300",2024-03-31,82,2024-03-31,82,7142
"103","AMD Ryzen 7 5800X3D",2022-04-29,449,2023-04-20,349,28297
"105","AMD Ryzen 5 5600G",2022-02-11,331,2023-05-05,399.99,19900
"106","Intel Core i5-11500 @ 2.70GHz",2021-01-01,192,2023-04-15,229.28,17393
"107","Intel Core i9-10900K @ 3.70GHz",2020-04-01,488,2023-04-11,334.8,22968
"108","Intel Core i9-10900KF @ 3.70GHz",2020-04-01,463,2023-05-31,316.39,22646
"109","Intel Core i7-11700 @ 2.50GHz",2021-04-03,344.99,2023-04-19,289.99,19802
"110","Intel Core i9-10850K @ 3.60GHz",2020-07-01,453,2023-05-31,272.29,22458
"111","AMD Ryzen 5 5500",2022-04-17,191,2023-04-03,159,19457
"112","Intel Core i7-10700K @ 3.80GHz",2020-04-01,374,2023-01-18,369.95,18847
"113","Intel Core i7-10700KF @ 3.80GHz",2020-04-01,349,2023-04-18,278.99,18652
"114","Intel Core i9-9900KS @ 4.00GHz",2019-10-01,524,2023-02-24,886.8,19525
"115","Intel Core i5-11400 @ 2.60GHz",2021-01-01,182,2023-05-13,139.4,17088
"116","Intel Core i9-10900F @ 2.80GHz",2020-04-01,422,2023-05-31,427.99,20050
"117","Intel Core i9-10900 @ 2.80GHz",2020-04-01,439,2023-04-15,496.53,19892
"118","Intel Pentium Gold G7400",2022-01-01,64,2023-05-06,110.17,6776
"119","Intel Core i5-11400F @ 2.60GHz",2021-01-01,157,2023-05-27,122.59,17088
"121","Intel Core i9-9990XE @ 4.00GHz",2020-09-30,163,2020-09-30,163,30162
"122","Intel Core i7-11700T @ 1.40GHz",2021-12-31,323,2021-12-31,323,15670
"123","Intel Core i9-9900KF @ 3.60GHz",2019-01-01,499,2023-03-06,360.73,18316
"124","Intel Core i9-9900K @ 3.60GHz",2018-10-22,579.99,2023-03-25,405,18324
"125","Intel Core i5-10600 @ 3.30GHz",2020-04-01,213,2023-03-17,191.08,13679
"126","Intel Core i5-10600K @ 4.10GHz",2020-04-01,262,2023-04-04,210.97,14328
"127","Intel Core i5-10600KF @ 4.10GHz",2020-04-01,237,2023-04-04,231.19,14256
"128","Intel Core i7-10700 @ 2.90GHz",2020-04-01,323,2023-04-19,348,16459
"129","Intel Core i9-10900E @ 2.80GHz",2021-12-31,444,2021-12-31,444,19478
"130","Intel Core i5-11600T @ 1.70GHz",2021-12-31,213,2021-12-31,213,14713
"131","Intel Core i7-9700KF @ 3.60GHz",2019-01-01,385,2022-10-24,294.8,14314
"132","Intel Core i7-10700F @ 2.90GHz",2020-04-01,298,2023-01-14,249.92,16457
"133","Intel Core i7-9700K @ 3.60GHz",2018-10-22,419.99,2022-10-29,315.99,14477
"134","Intel Core i3-10325 @ 3.90GHz",2022-03-31,190.1,2022-03-31,190.1,10268
"135","Intel Core i7-8086K @ 4.00GHz",2018-06-11,425,2023-05-12,305,14313
"136","Intel Core i3-10320 @ 3.80GHz",2020-04-01,154,2023-05-02,129.39,10024
"137","Intel Core i9-9900 @ 3.10GHz",2019-09-30,499,2019-09-30,499,16562
"138","Intel Core i3-10305 @ 3.80GHz",2021-01-01,143,2023-02-25,224.6,9291
"139","AMD Ryzen 7 3800XT",2020-08-16,392.99,2023-03-18,246.95,23625
"140","Intel Core i5-10500 @ 3.10GHz",2020-04-01,192,2023-04-09,181.46,13069
"141","Intel Core i3-9350K @ 4.00GHz",2020-06-30,293.22,2020-06-30,293.22,7700
"142","AMD Ryzen 5 3600XT",2020-07-01,249,2023-04-12,129.97,18664
"143","Intel Core i7-9700F @ 3.00GHz",2019-04-01,335,2023-05-28,187.68,13265
"144","Intel Core i7-7740X @ 4.30GHz",2017-08-04,349.99,2023-01-30,133.9,9878
"145","Intel Core i7-9700 @ 3.00GHz",2019-04-01,335,2023-03-15,268.38,13212
"147","AMD Ryzen 9 3900XT",2020-07-12,498,2023-03-17,424.95,32737
"148","Intel Core i5-9600KF @ 3.70GHz",2019-06-30,159.99,2019-06-30,159.99,10713
"149","AMD Ryzen 7 4700G",2021-10-12,309,2023-06-02,235.12,20143
