"","X","Disk","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile","AdjustedReleasePrice","AdjustedCurrentPrice"
"1",80,"OCZ-SOLID3",2542,2011-06-30,24.3,2011-06-30,24.3,"First Quantile",22.2384724090466,22.2384724090466
"2",61,"SAMSUNG MZ7TE128HMGR-000L1",2415,2014-06-30,15.99,2014-06-30,15.99,"First Quantile",13.9051275989549,13.9051275989549
"3",73,"KINGSTON SH103S3",3587,2014-03-31,29.99,2014-03-31,29.99,"First Quantile",26.0797233703975,26.0797233703975
"4",57,"SAMSUNG SSD PM871 M.2 2280 128GB",3022,2015-12-31,17.39,2015-12-31,17.39,"First Quantile",15.1044618219128,15.1044618219128
"5",252,"WDC WD40EZRZ",7055,2015-12-31,84,2015-12-31,84,"Second Quantile",72.960022601534,72.960022601534
"6",276,"Seagate ST4000NM0033",1235,2016-12-31,67,2016-12-31,67,"Second Quantile",57.4701794802486,57.4701794802486
"7",71,"SanDisk X300 2.5 7MM 128GB",3130,2016-12-31,26.19,2016-12-31,26.19,"First Quantile",22.4648358296673,22.4648358296673
"8",68,"SAMSUNG MZFLV128HCGR-000MV",3729,2016-09-30,26.95,2016-09-30,26.95,"First Quantile",23.1167363730254,23.1167363730254
"9",86,"Radeon R3 SSD R3SL120G",3719,2016-06-30,39.99,2016-06-30,39.99,"Second Quantile",34.3019772748529,34.3019772748529
"10",78,"THNSN5128GPUK TOSHIBA",6355,2017-09-30,59.99,2017-09-30,59.99,"Second Quantile",50.3840739563728,50.3840739563728
"11",77,"ADATA SU800 SSD 128GB",3221,2017-06-30,29.99,2017-06-30,29.99,"First Quantile",25.1878376054612,25.1878376054612
"12",259,"Seagate ST4000VX007",4568,2017-06-30,101.99,2017-06-30,101.99,"Third Quantile",85.6588048476489,85.6588048476489
"13",79,"ADATA SU700",2919,2017-12-31,22,2017-12-31,22,"First Quantile",18.4772399906685,18.4772399906685
"14",76,"KIOXIA (Toshiba) 128GB",5466,2018-09-30,48,2018-09-30,48,"First Quantile",39.3537467409786,39.3537467409786
"15",280,"WDC WD30EZRX",4081,2018-12-31,51,2018-12-31,51,"First Quantile",41.8133559122897,41.8133559122897
"16",55,"ADATA SU655",3533,2018-09-30,15.49,2018-09-30,15.49,"First Quantile",12.6997820212033,12.6997820212033
"17",65,"KBG30ZMT128G TOSHIBA",5389,2018-03-31,38.68,2018-03-31,38.68,"First Quantile",31.7125609154386,31.7125609154386
"18",85,"Samsung SSD 750 EVO 120GB",3284,2017-04-06,87.95,2018-12-22,119.25,"Second Quantile",73.8669662354223,97.7694645596187
"19",261,"WDC WD6003FZBX",6647,2018-12-31,175.9,2018-12-31,175.9,"Third Quantile",144.215084411211,144.215084411211
"20",96,"NVMe NVME SSD 256GB",9797,2019-12-31,16.99,2019-12-31,16.99,"First Quantile",13.6819434307621,13.6819434307621
"21",258,"INTEL SSDPE2KX040T8",18736,2019-06-30,407.84,2019-06-30,407.84,"Third Quantile",328.431065850618,328.431065850618
"22",118,"PLEXTOR PX-256M9PeG",11713,2019-07-19,51.99,2019-09-17,42.99,"Third Quantile",41.8672300744744,34.6195849375198
"23",160,"NVMe PNY CS3030 500GB",15870,2019-09-30,40.49,2019-09-30,40.49,"Second Quantile",32.6063501772547,32.6063501772547
"24",60,"BC501 NVMe SK hynix 128GB",4907,2019-03-31,31.99,2019-03-31,31.99,"First Quantile",25.7613519923531,25.7613519923531
"25",115,"PLEXTOR PX-256M9PeGN",12110,2019-06-21,49.99,2019-10-13,35.99,"Third Quantile",40.2566422662623,28.9825276087774
"26",156,"SSDPEMKF512G8 NVMe INTEL 512GB",14382,2019-09-30,35,2019-09-30,35,"Second Quantile",28.1852866437124,28.1852866437124
"27",111,"XPG GAMMIX S11 Pro",20663,2019-12-31,42.99,2019-12-31,42.99,"Second Quantile",34.6195849375198,34.6195849375198
"28",278,"TOSHIBA MD04ACA400",1232,2016-02-27,199.99,2019-01-10,121.27,"Third Quantile",171.544196929178,97.6579917509428
"29",270,"Seagate ST3000NM0033",1167,2018-12-20,139.95,2019-02-16,229.7,"Third Quantile",114.740767841666,184.976009773164
"30",84,"SanDisk X600 M.2 2280 128GB",3631,2018-06-03,62.49,2019-05-31,39.52,"Second Quantile",51.2336590384115,31.8252150902718
"31",67,"HP SSD M700 120GB",3183,2019-06-21,22.99,2019-11-14,22.99,"First Quantile",18.5137068553985,18.5137068553985
"32",83,"TEAM L5 LITE SSD 120GB",2454,2019-06-21,24.99,2019-08-29,24.99,"First Quantile",20.1242946636106,20.1242946636106
"33",36,"NVMe PC SN520 NVMe WD",13734,2019-09-30,32.6,2019-09-30,32.6,"First Quantile",26.2525812738578,26.2525812738578
"34",58,"ADATA SU650",4196,2019-12-31,17.96,2019-12-31,17.96,"First Quantile",14.463078517745,14.463078517745
"35",72,"SAMSUNG MZ7LN128HCHP-000H1",2947,2019-03-11,43.85,2019-06-08,44.18,"Second Quantile",35.312137695051,35.5778846834061
"36",161,"ADATA SX8200PNP",20700,2019-09-30,44.99,2019-09-30,44.99,"Second Quantile",36.230172745732,36.230172745732
"37",120,"Samsung SSD 970 EVO Plus 250GB",18567,2019-03-31,69.99,2019-03-31,69.99,"Third Quantile",56.3625203483836,56.3625203483836
"38",117,"XPG GAMMIX S5",15511,2020-12-31,45.99,2020-12-31,45.99,"Second Quantile",36.5854654251092,36.5854654251092
"39",194,"NVMe Sabrent Rocket Q",22394,2020-09-30,49.99,2020-09-30,49.99,"Second Quantile",39.7675019917636,39.7675019917636
"40",9,"NVMe PC SN730 NVMe WD",20179,2020-12-31,49,2020-12-31,49,"Second Quantile",38.9799479415166,38.9799479415166
"41",113,"KLEVV CRAS C710 M.2 NVMe SSD 256GB",11980,2020-06-30,37.9,2020-06-30,37.9,"First Quantile",30.1497964690506,30.1497964690506
"42",127,"CT250P5SSD8",18636,2020-09-30,82.99,2020-09-30,82.99,"Third Quantile",66.0193036666626,66.0193036666626
"43",24,"WDC PC SN730 SDBPNTY",23649,2020-12-31,78,2020-12-31,78,"Third Quantile",62.0497130497612,62.0497130497612
"44",105,"Micron 2300 NVMe 256GB",18139,2020-12-31,44.99,2020-12-31,44.99,"Second Quantile",35.7899562834456,35.7899562834456
"45",167,"Force MP600",30453,2020-09-30,62.99,2020-09-30,62.99,"Third Quantile",50.1091208333905,50.1091208333905
"46",98,"NVMe SSD 256G",10993,2020-12-31,19.99,2020-12-31,19.99,"First Quantile",15.9022277418555,15.9022277418555
"47",91,"IM2P33F3A ADATA 256GB",11782,2020-12-31,17,2020-12-31,17,"First Quantile",13.5236554082813,13.5236554082813
"48",41,"NVME SSD 128GB",7877,2020-06-30,34.99,2020-06-30,34.99,"First Quantile",27.8348648668095,27.8348648668095
"49",279,"Seagate ST4000DM000",1364,2020-03-31,59.99,2020-03-31,59.99,"Third Quantile",47.7225934083997,47.7225934083997
"50",170,"EMTEC X300 512GB",17922,2020-12-31,54.99,2020-12-31,54.99,"Third Quantile",43.7450477000816,43.7450477000816
"51",107,"EMTEC X300 256GB",13842,2020-09-30,34.99,2020-09-30,34.99,"First Quantile",27.8348648668095,27.8348648668095
"52",178,"KXG60ZNV1T02 KIOXIA",20671,2020-03-31,48.18,2020-03-31,48.18,"Second Quantile",38.3276304453525,38.3276304453525
"53",31,"IM2P33F3 NVMe ADATA 256GB",9924,2020-09-30,34.99,2020-09-30,34.99,"First Quantile",27.8348648668095,27.8348648668095
"54",49,"Patriot P300 128GB",9183,2020-09-30,30.95,2020-09-30,30.95,"First Quantile",24.6210079344886,24.6210079344886
"55",169,"NVMe Sabrent Rocket 4",26765,2020-03-31,64.99,2020-03-31,64.99,"Third Quantile",51.7001391167177,51.7001391167177
"56",126,"M Series NVMe SSD 256G",10899,2020-03-31,48.15,2020-03-31,48.15,"Second Quantile",38.3037651711026,38.3037651711026
"57",122,"WDC WDS240G2G0C",12649,2021-09-30,48.87,2021-09-30,48.87,"Second Quantile",37.1313579303729,37.1313579303729
"58",134,"SK hynix HFM512GD3JX013N",22190,2021-03-31,33.06,2021-03-31,33.06,"First Quantile",25.1189419516703,25.1189419516703
"59",213,"KINGSTON KC3000 2TB",49036,2021-12-31,199.99,2021-12-31,199.99,"Third Quantile",151.952123439641,151.952123439641
"60",52,"Patriot Burst Elite 120GB",2823,2021-10-15,20.99,2021-12-09,18.99,"First Quantile",15.9481727636285,14.4285755493714
"61",53,"HP SSD EX900 120GB",8851,2019-06-21,29.99,2021-02-27,43.99,"First Quantile",24.150764184141,33.4235407275855
"62",272,"Hitachi HUA723030ALA640",915,2017-07-09,157.95,2021-05-14,46.98,"Third Quantile",132.658184387549,35.6953385628999
"63",100,"NVMe PC SN530 NVMe WDC 256GB",12270,2021-03-31,23.99,2021-03-31,23.99,"First Quantile",18.2275685850142,18.2275685850142
"64",59,"Netac NVMe SSD 128GB",7527,2021-06-19,39.24,2021-08-21,48.31,"First Quantile",29.8144973437248,36.7058707103809
"65",17,"KINGSTON KC3000 1TB",45835,2021-12-31,132.07,2021-12-31,132.07,"Third Quantile",100.346602043469,100.346602043469
"66",281,"WDC WD40EZAZ",1127,2021-12-31,66.99,2021-12-31,66.99,"Second Quantile",50.8989086915424,50.8989086915424
"67",93,"NVMe PC SN730 NVMe WDC 256GB",14137,2021-03-31,21.72,2021-03-31,21.72,"First Quantile",16.5028257468324,16.5028257468324
"68",158,"NVMe PC SN730 NVMe WDC 512GB",19932,2021-03-31,49.99,2021-03-31,49.99,"Second Quantile",37.9823323703568,37.9823323703568
"69",110,"Patriot M.2 P300",16652,2021-06-30,36.78,2021-06-30,36.78,"First Quantile",27.9453927701885,27.9453927701885
"70",199,"WD Blue SN570 1TB",25613,2021-12-31,89.99,2021-12-31,89.99,"Second Quantile",68.3742766554993,68.3742766554993
"71",208,"Samsung 980 PRO with Heatsink 2TB",41597,2021-12-31,149.99,2021-12-31,149.99,"Third Quantile",113.962193083213,113.962193083213
"72",174,"WDC PC SN810 SDCPNRY 1TB",41636,2021-12-31,85,2021-12-31,85,"Second Quantile",64.5828816059278,64.5828816059278
"73",168,"Seagate FireCuda",32332,2021-06-30,45,2021-06-30,45,"Second Quantile",34.1909373207853,34.1909373207853
"74",157,"WDC WDS480G2G0C",16431,2021-06-30,39.99,2021-06-30,39.99,"First Quantile",30.3843462990712,30.3843462990712
"75",231,"Corsair MP600 CORE",31731,2021-06-30,139.99,2021-06-30,139.99,"Third Quantile",106.364207011927,106.364207011927
"76",218,"MSI M470 2TB",34600,2021-12-31,149.99,2021-12-31,149.99,"Third Quantile",113.962193083213,113.962193083213
"77",46,"BC711 NVMe SK hynix 128GB",9756,2021-06-30,15.99,2021-06-30,15.99,"First Quantile",12.1491797279857,12.1491797279857
"78",179,"WD Green SN350 1TB",24296,2021-12-31,59,2021-12-31,59,"Second Quantile",44.8281178205852,44.8281178205852
"79",142,"WD Blue SN570 500GB",22680,2021-12-31,42.99,2021-12-31,42.99,"First Quantile",32.6637421204569,32.6637421204569
"80",121,"Patriot P300 256GB",10488,2020-08-09,37.99,2021-01-07,37.99,"Second Quantile",30.2213922918004,28.8647490848141
"81",135,"NVMe PC SN810 NVMe WDC 512GB",35383,2021-12-31,55.99,2021-12-31,55.99,"Second Quantile",42.5411240131282,42.5411240131282
"82",222,"WDC SN810 NVMe 2TB",39570,2021-12-31,189,2021-12-31,189,"Third Quantile",143.601936747298,143.601936747298
"83",202,"PNY CS3140 2TB SSD",46213,2021-06-30,139.99,2021-06-30,139.99,"Third Quantile",106.364207011927,106.364207011927
"84",99,"NVMe Patriot M.2 P300",13609,2021-09-30,26.6,2021-09-30,26.6,"First Quantile",20.2106429496198,20.2106429496198
"85",81,"SanDisk SD9SN8W-128G-1006",3592,2019-03-31,50.52,2022-03-22,31.99,"Third Quantile",40.6834480354385,22.5055161500396
"86",181,"Corsair MP600 PRO LPX",48415,2022-06-30,99.99,2022-06-30,99.99,"Second Quantile",70.3446877099861,70.3446877099861
