"","GPU","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice"
"1","GeForce RTX 4090","28,348","2022-12-31","1799.99","2022-12-31","1799.99"
"2","GeForce RTX 4080","21,672","2022-11-17","1,399.99","2024-02-24","1,111.68"
"3","GeForce RTX 4080 SUPER","20,452","2024-02-01","999.99","2024-04-09","999.99"
"4","GeForce RTX 4070 Ti SUPER","19,314","2024-01-26","799.99","2024-04-09","849.99"
"5","GeForce RTX 4070 Ti","19,016","2023-01-14","849.99","2024-02-27","789.99"
"6","Radeon RX 7900 XTX","18,375","2022-12-13","999","2024-01-23","959.99"
"7","GeForce RTX 4070 SUPER","17,926","2024-01-19","609.99","2024-02-10","589.99"
"8","GeForce RTX 3090 Ti","17,565","2022-04-02","2,099.99","2024-03-12","2,055.94"
"9","Radeon RX 7900 XT","17,540","2022-12-13","899","2024-03-20","727.89"
"10","GeForce RTX 3090","16,078","2020-09-24","1,549.99","2024-04-01","1,875.02"
"11","GeForce RTX 3080 Ti","16,020","2021-06-17","2,719.99","2024-04-01","1,468.05"
"12","Radeon RX 6900 XT","15,325","2020-12-08","999","2023-11-28","926.61"
"13","RTX A6000","15,131","2021-09-05","4,999","2023-05-30","4,673.98"
"14","GeForce RTX 4070","15,083","2023-04-20","599.99","2024-02-20","524.99"
"15","GeForce RTX 3080","15,061","2020-09-18","749.99","2024-03-17","499.99"
"16","Radeon RX 6950 XT","14,991","2022-05-01","1,099","2024-04-01","920.89"
"17","Radeon RX 6800 XT","13,965","2020-11-18","649","2024-04-07","834.99"
"18","Radeon RX 7800 XT","13,661","2023-09-10","519.99","2024-03-20","499.99"
"19","RTX A5000","12,789","2021-06-30","2229.99","2021-06-30","2229.99"
"20","Radeon RX 7700 XT","12,768","2023-09-09","449.99","2024-03-12","419.99"
"21","GeForce RTX 4060 Ti","12,510","2023-06-03","399","2024-04-05","390.99"
"22","GeForce RTX 4060 Ti 16GB","12,414","2023-07-18","499","2024-04-08","439.99"
"23","GeForce RTX 3070 Ti","12,087","2021-06-19","1,419.99","2024-01-24","491.07"
"24","GeForce RTX 3070","11,613","2020-10-01","499","2023-09-16","474.64"
"25","Radeon RX 6800","11,516","2020-11-18","579","2023-11-10","399.99"
"26","GeForce RTX 2080 Ti","10,424","2018-11-03","1,319.99","2023-09-05","1,342.59"
"27","GeForce RTX 3060 Ti","10,312","2020-12-03","439.99","2024-03-12","390.71"
"28","TITAN RTX","10,307","2018-12-28","2,499.99","2023-08-26","2,423.14"
"29","RTX A4000","10,166","2021-08-28","1,186.99","2023-01-28","930.99"
"30","Radeon RX 6750 XT","10,108","2022-05-14","579.99","2024-02-07","369.99"
"31","Quadro RTX 6000","9,984","2018-12-31","6300","2018-12-31","6300"
"32","Quadro RTX 8000","9,894","2019-03-31","4741.49","2019-03-31","4741.49"
"33","Radeon RX 6700 XT","9,837","2021-04-18","779.99","2023-12-29","523.67"
"34","NVIDIA TITAN Xp","9,743","2017-04-06","1,200","2021-05-25","1,790"
"35","GeForce GTX 1080 Ti","9,731","2017-03-15","879","2022-05-26","483.82"
"36","TITAN V","9,685","2018-03-27","3,629","2021-11-20","1,999.99"
"37","GeForce RTX 4060","9,416","2023-07-05","389.99","2024-02-19","294.76"
"38","Quadro GV100","9,336","2018-03-31","8999","2018-03-31","8999"
"39","NVIDIA TITAN X","9,224","2016-09-30","608.1","2016-09-30","608.1"
"40","Radeon RX 7600","8,767","2023-06-24","257.99","2024-03-18","269.99"
"41","Quadro P6000","8,687","2016-11-18","6,999","2021-05-13","3,250"
"42","GeForce RTX 3060 12GB","8,676","2021-02-25","329","2023-10-25","254.99"
"43","GeForce RTX 2080 SUPER","8,534","2019-07-23","699","2022-11-19","740.99"
"44","GeForce RTX 2080","8,116","2018-09-27","839.99","2023-06-24","800.61"
"45","Radeon RX 6650 XT","8,006","2022-05-27","399.99","2024-02-15","314.93"
"46","Radeon RX 6600 XT","7,981","2021-09-01","777.9","2023-12-02","349.99"
"47","Radeon RX 5700 XT","7,958","2019-07-13","399.99","2024-01-16","506.64"
"48","GeForce RTX 2070 SUPER","7,787","2019-07-09","499","2023-05-26","497.95"
"49","Radeon VII","7,655","2019-03-31","1899.95","2019-03-31","1899.95"
"50","GeForce GTX 1080","7,626","2016-06-30","442.79","2016-06-30","442.79"
"51","GeForce GTX 1070 Ti","7,200","2017-12-31","569.99","2017-12-31","569.99"
"52","Radeon RX 6600","6,996","2021-12-31","329","2021-12-31","329"
"53","Radeon Pro W5700","6,964","2020-03-31","649.99","2020-03-31","649.99"
"54","GeForce RTX 2060 SUPER","6,890","2019-09-30","415.98","2019-09-30","415.98"
"55","Intel Arc A770","6,770","2022-12-31","299.99","2022-12-31","299.99"
"56","Radeon RX 5700","6,751","2019-09-30","309.99","2019-09-30","309.99"
"57","GeForce RTX 3050","6,672","2022-03-31","169.99","2022-03-31","169.99"
"58","Radeon RX 5600 XT","6,612","2020-03-31","545","2020-03-31","545"
"59","GeForce RTX 2070","6,536","2018-12-31","390.59","2018-12-31","390.59"
"60","Quadro P5000","6,525","2016-12-31","1868.99","2016-12-31","1868.99"
"61","Radeon RX Vega 64","6,487","2017-09-30","749.99","2017-09-30","749.99"
"62","Quadro RTX 4000","6,359","2019-03-31","899","2019-03-31","899"
"63","GeForce GTX 980 Ti","6,177","2015-06-30","778.69","2015-06-30","778.69"
"64","GeForce GTX 1070","6,103","2016-06-30","529.99","2016-06-30","529.99"
