"","X","Memory","Type","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Score","Quartile","Size","AdjustedReleasePrice","AdjustedCurrentPrice"
"1",56,"Crucial Technology CT4G4DFS8213.C8FAR 4GB","DDR4",2014-09-12,49.99,2015-03-06,43.99,2768,"First Quartile",4,43.472003043887,38.2084689790653
"2",445,"Crucial Technology CT8G4DFD8213.C16FAD1 8GB","DDR4",2015-04-03,82.99,2015-10-30,44.99,2586,"First Quartile",8,72.0827651869203,39.0770406767026
"3",474,"Crucial Technology CT8G4DFD8213.C16FAR1 8GB","DDR4",2015-01-15,99.69,2015-03-06,82.99,2748,"First Quartile",8,86.5879125374634,72.0827651869203
"4",244,"Corsair CMK32GX4M4B3000C15 8GB","DDR4",2015-07-09,499.99,2016-05-08,199.99,3355,"Third Quartile",8,434.277163101679,171.544196929178
"5",164,"Crucial Technology BLS4G4D240FSA.8FAD 4GB","DDR4",2014-11-27,67.49,2016-12-05,31.09,2440,"First Quartile",4,58.6902477581903,26.667878806581
"6",215,"Mushkin 99[2/7/4]191[F/T] 4GB","DDR4",2016-02-13,26.99,2016-10-28,46.99,2554,"First Quartile",4,23.151046927939,40.3063243847296
"7",576,"Mushkin 99[2/7/4]199[F/T] 8GB","DDR4",2016-01-16,42.99,2016-10-23,88.99,2713,"First Quartile",8,36.8752688933715,76.3324070439899
"8",326,"Corsair CMK32GX4M4A2800C16 8GB","DDR4",2015-01-27,829.99,2016-12-04,239.99,3103,"Third Quartile",8,720.905823321991,205.854751842759
"9",440,"Corsair CMK32GX4M4A2666C15 8GB","DDR4",2014-12-12,589.99,2016-06-03,131.99,3102,"Third Quartile",8,513.063554228103,113.21625357609
"10",363,"Corsair CMK16GX4M4B3200C16 4GB","DDR4",2015-12-25,162.99,2016-09-01,119.99,2765,"Second Quartile",4,141.568500997905,102.923087102015
"11",276,"Crucial Technology BLE8G4D30AEEA.K16FE 8GB","DDR4",2016-08-13,49.99,2016-12-19,59.99,3238,"First Quartile",8,42.8796160032482,51.4572547316435
"12",661,"Crucial Technology CT16G4DFD8213.M16FA 16GB","DDR4",2016-06-08,58.7,2016-07-31,69.99,2765,"First Quartile",16,50.3507393356805,60.0348934600388
"13",505,"Crucial Technology BLT4G4D26AFTA.8FADG 4GB","DDR4",2016-01-04,29.99,2016-12-21,33.99,2393,"First Quartile",4,25.7243385464576,29.1553940378157
"14",577,"Mushkin 99[2/7/4]190F 4GB","DDR4",2015-02-11,114.99,2016-08-11,49.91,2752,"Second Quartile",4,99.8770595113142,42.810994893421
"15",13,"Samsung M393A1G40DB1-CRC 8GB","DDR4",2016-07-13,55.99,2016-11-04,99.99,2343,"First Quartile",8,48.0261992402854,85.7678096452248
"16",86,"Corsair CMD64GX4M4B2800C14 16GB","DDR4",2015-12-26,599.99,2016-12-12,563.34,2960,"Third Quartile",16,521.13433286541,483.212700125422
"17",651,"Crucial Technology CT16G4SFD8213.C16FBD 16GB","DDR4",2016-07-01,51.99,2016-09-08,63.99,2374,"First Quartile",16,44.5951437489273,54.8883102230016
"18",19,"Samsung M393A2G40DB1-CRC 16GB","DDR4",2016-06-09,93.99,2016-09-29,169.99,2375,"Second Quartile",16,80.6212264081876,145.811280743992
