"Quantile","ReleaseYear","Avg_Release_Price","Avg_Score"
"First Quantile",2008,27.05298361115,686.636363636364
"First Quantile",2009,21.9927636471722,688.25
"First Quantile",2010,49.5888257114245,1173.5
"First Quantile",2011,49.4297223789166,1364.80952380952
"First Quantile",2012,56.0454793631844,1793.5
"First Quantile",2013,47.1286166373087,1762.27272727273
"First Quantile",2014,40.6407883741811,1444.39285714286
"First Quantile",2015,52.5343747156413,2006.18181818182
"First Quantile",2016,51.5337386769717,1851.83333333333
"First Quantile",2017,68.1558193292158,3713.54166666667
"First Quantile",2018,47.8866614601959,2253.47058823529
"First Quantile",2019,75.2570838501947,6533.11764705882
"First Quantile",2020,72.0427994486967,6250.5625
"First Quantile",2021,76.3195353842783,6207.88235294118
"First Quantile",2022,88.6616381589222,11665.3125
"First Quantile",2023,124.83469819628,21311.7777777778
"First Quantile",2024,99.2492528839854,18802
"Second Quantile",2008,87.9561213055049,884.545454545455
"Second Quantile",2009,45.9321472157317,798.058823529412
"Second Quantile",2010,99.5077853208106,1644.53125
"Second Quantile",2011,104.887321504099,1944.90476190476
"Second Quantile",2012,124.394400261685,2977.77272727273
"Second Quantile",2013,114.207286081472,3035.68421052632
"Second Quantile",2014,87.8408427700678,2391.47826086957
"Second Quantile",2015,121.824287089341,3500.36363636364
"Second Quantile",2016,98.9788028934083,3183.25
"Second Quantile",2017,148.891559552078,4908.08333333333
"Second Quantile",2018,144.698325271928,6135.70588235294
"Second Quantile",2019,166.980822714909,10129.3333333333
"Second Quantile",2020,198.222758172121,14573.2777777778
"Second Quantile",2021,184.114398479393,18327.5625
"Second Quantile",2022,189.242851472917,25115.6666666667
"Second Quantile",2023,221.799781761589,36625.7777777778
"Second Quantile",2024,175.971537185751,34076
"Third Quantile",2008,459.086531727133,1801.90909090909
"Third Quantile",2009,181.816089965185,991.3
"Third Quantile",2010,283.449082965212,2534.0303030303
"Third Quantile",2011,317.077520673065,4174.31818181818
"Third Quantile",2012,258.669335315045,4686.52380952381
"Third Quantile",2013,303.062294914683,6033.13636363636
"Third Quantile",2014,261.09123012384,5389.26923076923
"Third Quantile",2015,289.936339167042,5975.18181818182
"Third Quantile",2016,436.766930820843,7194.58333333333
"Third Quantile",2017,498.074650864367,12501.2083333333
"Third Quantile",2018,520.091111142058,16505.8823529412
"Third Quantile",2019,472.753944535322,21466.5882352941
"Third Quantile",2020,362.659548605681,24185.0714285714
"Third Quantile",2021,338.332062589349,23906.8823529412
"Third Quantile",2022,358.838196224668,39368.9375
"Third Quantile",2023,400.279001501244,51659.6
"Third Quantile",2024,327.457238956044,47886
