"Quantile","ReleaseYear","Avg_Release_Price","Avg_Score"
"First Quantile",2011,22.2384724090466,2542
"First Quantile",2014,19.9924254846762,3001
"First Quantile",2015,15.1044618219128,3022
"First Quantile",2016,22.7907861013463,3429.5
"First Quantile",2017,21.8325387980649,3070
"First Quantile",2018,31.3948613974776,4617.25
"First Quantile",2019,20.5853254237114,6278
"First Quantile",2020,23.9573260220149,10797.2857142857
"First Quantile",2021,24.2728519313035,11272.7142857143
"First Quantile",2022,24.8304060855558,15394.3333333333
"First Quantile",2023,25.5785777556319,17713.4411764706
"First Quantile",2024,20.6464564223133,12074.25
"Second Quantile",2011,91.5071957275956,18435
"Second Quantile",2014,86.9527022276107,1146
"Second Quantile",2015,66.0071061619473,5096
"Second Quantile",2016,45.8860783775508,2477
"Second Quantile",2017,62.1255200958975,4819.5
"Second Quantile",2018,74.4633012119058,8965.33333333333
"Second Quantile",2019,32.9455802343593,12637.5
"Second Quantile",2020,36.8536656500129,16897.2857142857
"Second Quantile",2021,55.4690973134207,17635.5714285714
"Second Quantile",2022,66.8502171319623,25156.7857142857
"Second Quantile",2023,59.6457148077841,28573.7058823529
"Second Quantile",2024,95.6449379108301,47310.75
"Third Quantile",2011,219.63008203486,1765
"Third Quantile",2013,256.264664743598,1006
"Third Quantile",2014,121.73726157459,5298
"Third Quantile",2015,136.357070812081,1063
"Third Quantile",2016,171.544196929178,1232
"Third Quantile",2017,104.760351583457,3118
"Third Quantile",2018,114.972381038631,4003
"Third Quantile",2019,114.170543254638,14533
"Third Quantile",2020,76.9585487509642,22946.875
"Third Quantile",2021,224.033674584637,32727.7857142857
"Third Quantile",2022,238.781720657699,37095.2666666667
"Third Quantile",2023,195.954891066789,45858.7428571429
"Third Quantile",2024,257.088212750077,53944.25
