"Quantile","ReleaseYear","Avg_Release_Price","Avg_Score"
"First Quantile",2010,51.9151043400459,219
"First Quantile",2011,64.4052831444365,357.357142857143
"First Quantile",2012,65.4602265528013,325.909090909091
"First Quantile",2013,116.050656883611,1037.66666666667
"First Quantile",2014,66.2134957344541,591.375
"First Quantile",2015,89.3100162378586,940.2
"First Quantile",2016,96.7141020396185,1632.57142857143
"First Quantile",2017,108.051539967249,1155.8
"First Quantile",2018,72.4969803243963,862
"First Quantile",2019,161.856021786279,4501.8
"First Quantile",2020,214.865030390485,3977
"First Quantile",2021,245.159151238126,7162.66666666667
"First Quantile",2022,164.733249243704,4916.16666666667
"First Quantile",2023,220.883685039246,7952.33333333333
"Second Quantile",2009,82.5130454861727,52
"Second Quantile",2011,146.038518679832,837
"Second Quantile",2012,128.564911968572,1022.3
"Second Quantile",2013,252.800553961175,2335
"Second Quantile",2014,182.846123224875,1631.625
"Second Quantile",2015,388.03006306098,2724.25
"Second Quantile",2016,208.713964752225,3433.66666666667
"Second Quantile",2017,567.536825058832,5832.5
"Second Quantile",2018,469.667837060025,6277.66666666667
"Second Quantile",2019,257.6859963749,5934.2
"Second Quantile",2020,486.84363960671,8768.33333333333
"Second Quantile",2021,417.881635934638,5776
"Second Quantile",2022,323.610890086174,7311
"Second Quantile",2023,333.575295911175,13287.2
"Second Quantile",2024,398.296393201989,17926
"Third Quantile",2010,146.332809105421,177
"Third Quantile",2011,422.980626091926,1115.86666666667
"Third Quantile",2012,552.706506823091,1631.27272727273
"Third Quantile",2013,1573.05093889492,2687.66666666667
"Third Quantile",2014,738.240312143291,3485.875
"Third Quantile",2015,840.026957366158,2897.2
"Third Quantile",2016,736.547133083773,4748
"Third Quantile",2017,1052.36000534126,8422.66666666667
"Third Quantile",2018,1732.17565954726,7951.25
"Third Quantile",2019,904.171110827826,7123.4
"Third Quantile",2020,874.789582721799,15488
"Third Quantile",2021,1082.30842239991,11481.25
"Third Quantile",2022,972.843557004239,19748.5
"Third Quantile",2023,574.430940756046,19016
"Third Quantile",2024,587.653520414856,19883
