"Quantile","ReleaseYear","Avg_Release_Price","Avg_Score"
"First Quantile",2014,192.306436349773,2652.75
"First Quantile",2015,61.5489206539078,2680.11111111111
"First Quantile",2016,42.432935466467,2640.475
"First Quantile",2017,59.834062378873,2721.5
"First Quantile",2019,54.6942472013264,2806.40816326531
"First Quantile",2020,34.1157155052982,2784.38461538462
"First Quantile",2021,62.3874978019589,2919.77142857143
"First Quantile",2022,64.4597660908838,2971
"First Quantile",2023,60.6200724547551,3189.30555555556
"First Quantile",2024,52.6586935148058,3055.66666666667
"Second Quantile",2014,389.143561554491,2810.375
"Second Quantile",2015,166.195063248563,2911.52941176471
"Second Quantile",2016,101.756742675922,2897.95
"Second Quantile",2017,103.606923874948,2668.75
"Second Quantile",2018,124.206163802595,2823
"Second Quantile",2019,155.426982554702,3107.24489795918
"Second Quantile",2020,92.7398438050341,2968.12820512821
"Second Quantile",2021,152.002229077517,3234.45945945946
"Second Quantile",2022,254.431857646702,3386.41379310345
"Second Quantile",2023,162.344495644499,3607.54054054054
"Second Quantile",2024,203.379348960786,3855.5
"Third Quantile",2014,625.135056374151,3068.25
"Third Quantile",2015,548.446087357783,2840.44444444444
"Third Quantile",2016,289.287979278956,3164.9756097561
"Third Quantile",2017,316.846871485438,3192.5
"Third Quantile",2019,399.972409938717,3321.36
"Third Quantile",2020,371.713676092754,3172.34146341463
"Third Quantile",2021,413.795707189715,3214.64705882353
"Third Quantile",2022,549.49463854496,3570.44444444444
"Third Quantile",2023,346.960196818985,3576.87179487179
"Third Quantile",2024,372.749504918528,3903.5
