"Quantile","term","Slope","Component"
"1","ReleaseDate",0.000526996960628134,"CPU"
"2","ReleaseDate",0.000640019878901041,"CPU"
"3","ReleaseDate",0.000655912937557004,"CPU"
"1","ReleaseDate",0.000625225406219552,"GPU"
"2","ReleaseDate",0.000497619172763248,"GPU"
"3","ReleaseDate",0.000468217469624457,"GPU"
"1","ReleaseDate",0.000643781174036586,"Disk"
"2","ReleaseDate",0.000762999645755626,"Disk"
"3","ReleaseDate",0.00075261751596078,"Disk"
"1","ReleaseDate",5.7275051135274e-05,"memory"
"2","ReleaseDate",7.17365022945612e-05,"memory"
"3","ReleaseDate",4.93688495937513e-05,"memory"
